OrderID,Date,Region,SalesPerson,Product,Units,UnitCost,TotalSales
1001,2023-03-16,East,Amit,Monitor,15,15000,225000
1002,2023-05-26,North,Amit,Tablet,19,20000,380000
1003,2023-05-06,East,Anjali,Monitor,9,15000,135000
1004,2023-06-20,West,Rajesh,Tablet,5,20000,100000
1005,2023-03-16,West,Amit,Camera,1,25000,25000
1006,2023-02-27,South,Rajesh,Laptop,18,40000,720000
1007,2023-03-16,East,Rajesh,Laptop,18,40000,720000
1008,2023-03-24,East,Meera,Camera,7,25000,175000
1009,2023-04-23,East,Anjali,Phone,5,5000,25000
1010,2023-06-26,East,Meera,Laptop,17,40000,680000
1011,2023-06-02,South,Rajesh,Laptop,7,40000,280000
1012,2023-01-20,South,Anjali,Camera,16,25000,400000
1013,2023-05-18,South,Anjali,Tablet,19,20000,380000
1014,2023-05-04,North,Rajesh,Camera,7,25000,175000
1015,2023-04-06,South,Rajesh,Monitor,13,15000,195000
1016,2023-06-08,West,Anjali,Camera,14,25000,350000
1017,2023-05-04,West,John,Laptop,9,40000,360000
1018,2023-04-30,West,John,Phone,6,5000,30000
1019,2023-03-17,South,Meera,Phone,12,5000,60000
1020,2023-03-30,North,Anjali,Tablet,6,20000,120000
1021,2023-06-12,East,John,Tablet,14,20000,280000
1022,2023-04-05,North,Amit,Tablet,18,20000,360000
1023,2023-05-21,West,Rajesh,Tablet,1,20000,20000
1024,2023-02-02,North,Meera,Phone,15,5000,75000
1025,2023-01-01,South,Rajesh,Phone,20,5000,100000
1026,2023-01-28,East,Anjali,Monitor,8,15000,120000
1027,2023-04-03,West,Anjali,Tablet,6,20000,120000
1028,2023-03-20,East,Amit,Phone,18,5000,90000
1029,2023-03-19,North,Amit,Tablet,11,20000,220000
1030,2023-02-10,West,Amit,Monitor,10,15000,150000
1031,2023-03-21,East,Anjali,Laptop,13,40000,520000
1032,2023-04-09,West,Anjali,Monitor,6,15000,90000
1033,2023-05-20,South,Anjali,Phone,13,5000,65000
1034,2023-05-21,East,Amit,Monitor,8,15000,120000
1035,2023-01-24,South,John,Tablet,5,20000,100000
1036,2023-02-25,South,Amit,Camera,9,25000,225000
1037,2023-02-14,South,Amit,Phone,8,5000,40000
1038,2023-03-12,West,Amit,Camera,7,25000,175000
1039,2023-01-17,South,Meera,Monitor,7,15000,105000
1040,2023-05-04,West,Anjali,Tablet,20,20000,400000
1041,2023-06-19,South,Anjali,Tablet,13,20000,260000
1042,2023-05-25,West,Anjali,Tablet,14,20000,280000
1043,2023-05-23,West,Amit,Camera,13,25000,325000
1044,2023-04-05,North,Amit,Monitor,3,15000,45000
1045,2023-06-03,South,Amit,Camera,13,25000,325000
1046,2023-02-09,South,Amit,Tablet,14,20000,280000
1047,2023-01-07,East,Rajesh,Monitor,16,15000,240000
1048,2023-04-23,West,Anjali,Phone,11,5000,55000
1049,2023-03-09,East,John,Camera,19,25000,475000
1050,2023-02-24,North,Anjali,Camera,4,25000,100000
1051,2023-03-08,South,Amit,Camera,3,25000,75000
1052,2023-05-05,East,Rajesh,Laptop,1,40000,40000
1053,2023-02-21,North,Amit,Laptop,11,40000,440000
1054,2023-05-30,South,Anjali,Laptop,13,40000,520000
1055,2023-03-24,East,Rajesh,Tablet,18,20000,360000
1056,2023-01-17,South,Amit,Phone,3,5000,15000
1057,2023-03-14,North,Amit,Tablet,20,20000,400000
1058,2023-05-01,West,Rajesh,Tablet,12,20000,240000
1059,2023-03-12,East,Meera,Camera,2,25000,50000
1060,2023-04-27,North,John,Monitor,2,15000,30000
1061,2023-02-07,North,Rajesh,Phone,5,5000,25000
1062,2023-06-09,North,Meera,Laptop,19,40000,760000
1063,2023-04-01,West,Anjali,Tablet,9,20000,180000
1064,2023-04-23,South,Meera,Monitor,11,15000,165000
1065,2023-02-19,North,Anjali,Laptop,4,40000,160000
1066,2023-06-15,North,Amit,Phone,4,5000,20000
1067,2023-02-28,South,Amit,Tablet,18,20000,360000
1068,2023-03-17,South,John,Tablet,8,20000,160000
1069,2023-01-02,South,Meera,Camera,11,25000,275000
1070,2023-02-09,West,Rajesh,Laptop,15,40000,600000
1071,2023-03-01,South,Rajesh,Laptop,20,40000,800000
1072,2023-03-29,West,Amit,Camera,6,25000,150000
1073,2023-06-30,West,Amit,Monitor,4,15000,60000
1074,2023-06-01,East,John,Phone,6,5000,30000
1075,2023-06-10,East,Meera,Monitor,13,15000,195000
1076,2023-01-28,East,Amit,Phone,17,5000,85000
1077,2023-03-16,West,John,Camera,7,25000,175000
1078,2023-05-11,West,John,Phone,17,5000,85000
1079,2023-03-03,North,Amit,Phone,5,5000,25000
1080,2023-03-20,East,Amit,Monitor,5,15000,75000
1081,2023-01-19,East,Meera,Laptop,6,40000,240000
1082,2023-06-27,East,Anjali,Phone,4,5000,20000
1083,2023-06-05,West,Meera,Phone,14,5000,70000
1084,2023-05-07,North,John,Tablet,2,20000,40000
1085,2023-06-14,North,Rajesh,Monitor,13,15000,195000
1086,2023-01-05,West,Amit,Phone,5,5000,25000
1087,2023-03-18,North,Anjali,Phone,17,5000,85000
1088,2023-04-13,East,John,Laptop,6,40000,240000
1089,2023-02-15,North,Amit,Camera,16,25000,400000
1090,2023-02-18,South,Anjali,Laptop,15,40000,600000
1091,2023-01-09,North,Meera,Laptop,1,40000,40000
1092,2023-06-20,North,Amit,Laptop,8,40000,320000
1093,2023-03-05,West,Amit,Laptop,4,40000,160000
1094,2023-06-29,North,Anjali,Camera,20,25000,500000
1095,2023-06-25,South,Anjali,Phone,10,5000,50000
1096,2023-04-02,West,Anjali,Laptop,11,40000,440000
1097,2023-04-05,East,Rajesh,Tablet,20,20000,400000
1098,2023-01-30,South,Meera,Laptop,18,40000,720000
1099,2023-03-13,North,Amit,Laptop,5,40000,200000
1100,2023-01-23,East,John,Laptop,10,40000,400000
1101,2023-06-03,South,Rajesh,Camera,8,25000,200000
1102,2023-01-24,West,John,Camera,2,25000,50000
1103,2023-01-08,North,Anjali,Laptop,3,40000,120000
1104,2023-03-06,East,Rajesh,Camera,6,25000,150000
1105,2023-01-21,North,Meera,Camera,12,25000,300000
1106,2023-01-25,North,John,Phone,19,5000,95000
1107,2023-04-27,South,John,Tablet,2,20000,40000
1108,2023-05-06,West,Meera,Camera,16,25000,400000
