Email Text,Category
I want to receive notifications via SMS now,Update Personal Info
Is my emergency room visit claim covered,Claim Status
What is the status of my recent claim,Claim Status
Please change the name on the policy to match my ID,Update Personal Info
Is maternity covered under my health insurance,Policy Inquiry
I need details about the benefits included in my plan,Policy Inquiry
Please change my preferred mailing address,Update Personal Info
Can I upgrade to a better insurance plan,Policy Inquiry
What is the waiting period for new policies,Policy Inquiry
Is my prescription reimbursement being handled,Claim Status
Is maternity covered under my health insurance,Policy Inquiry
How much is the monthly premium for my policy,Policy Inquiry
Is maternity covered under my health insurance,Policy Inquiry
My name has legally changed please modify the records,Update Personal Info
I need an update on my submitted claim from last month,Claim Status
Update my work phone number in your system,Update Personal Info
Can you send me the breakdown of my approved claim,Claim Status
I need details about the benefits included in my plan,Policy Inquiry
Do you offer temporary coverage plans,Policy Inquiry
I want to receive notifications via SMS now,Update Personal Info
I want to opt in for paperless communication,Update Personal Info
Is there any document missing for my claim,Claim Status
How can I switch to a different insurance plan,Policy Inquiry
Please tell me if my claim was denied or accepted,Claim Status
Please update my marital status in your records,Update Personal Info
My email address has changed please update it,Update Personal Info
My email address has changed please update it,Update Personal Info
Is there a plan that includes gym memberships,Policy Inquiry
What happens if I miss a payment,Policy Inquiry
My claim ID is 54321 has it been processed,Claim Status
How can I switch to a different insurance plan,Policy Inquiry
Do you offer temporary coverage plans,Policy Inquiry
What is the waiting period for new policies,Policy Inquiry
Please tell me if my claim was denied or accepted,Claim Status
Does my plan cover annual health check ups,Policy Inquiry
Please change my preferred mailing address,Update Personal Info
What is the status of my recent claim,Claim Status
Is there any document missing for my claim,Claim Status
What is the status of my recent claim,Claim Status
What happens if I miss a payment,Policy Inquiry
I want to receive notifications via SMS now,Update Personal Info
Are you waiting for any more documents for my claim,Claim Status
Can you confirm if my claim was approved,Claim Status
Is maternity covered under my health insurance,Policy Inquiry
Has my reimbursement been processed yet,Claim Status
Can I upgrade to a better insurance plan,Policy Inquiry
Did my dental procedure claim go through,Claim Status
Please change my preferred mailing address,Update Personal Info
Please change the name on the policy to match my ID,Update Personal Info
What happens if I miss a payment,Policy Inquiry
I want to receive notifications via SMS now,Update Personal Info
Do you offer temporary coverage plans,Policy Inquiry
I have changed my phone number please update it,Update Personal Info
My claim ID is 54321 has it been processed,Claim Status
Has the claim been rejected I did not receive anything,Claim Status
I want to opt in for paperless communication,Update Personal Info
What is the deductible on my plan,Policy Inquiry
What is the deductible on my plan,Policy Inquiry
The app shows my claim is denied can you confirm,Claim Status
I have changed my phone number please update it,Update Personal Info
Is mental health counseling included in the policy,Policy Inquiry
Is there any document missing for my claim,Claim Status
What is the waiting period for new policies,Policy Inquiry
I need details about the benefits included in my plan,Policy Inquiry
Please update me on the progress of my recent claim,Claim Status
Did my dental procedure claim go through,Claim Status
Is there a plan that includes gym memberships,Policy Inquiry
How can I switch to a different insurance plan,Policy Inquiry
Did my dental procedure claim go through,Claim Status
Are you waiting for any more documents for my claim,Claim Status
Can I upgrade to a better insurance plan,Policy Inquiry
Can you add my spouse as an emergency contact,Update Personal Info
Is maternity covered under my health insurance,Policy Inquiry
Can I cancel my current policy online,Policy Inquiry
Is there any document missing for my claim,Claim Status
Please update my contact number,Update Personal Info
My claim ID is 54321 has it been processed,Claim Status
What is the waiting period for new policies,Policy Inquiry
I need to remove an old address from my file,Update Personal Info
I want to receive notifications via SMS now,Update Personal Info
Can I cancel my current policy online,Policy Inquiry
Please update me on the progress of my recent claim,Claim Status
I need to update my emergency contact details,Update Personal Info
Kindly update my dependents list,Update Personal Info
Can I restart my old policy,Policy Inquiry
Please change the name on the policy to match my ID,Update Personal Info
Do you offer temporary coverage plans,Policy Inquiry
Please confirm if claim 998877 has been finalized,Claim Status
The app shows my claim is denied can you confirm,Claim Status
Do I have dental coverage in my current plan,Policy Inquiry
Can you confirm if my claim was approved,Claim Status
Are you waiting for any more documents for my claim,Claim Status
