CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
CUST0001,Male,45,3,120000.5,2,1,1,50000,0
CUST0002,Female,33,1,34000.0,1,0,1,62000,1
CUST0003,Male,52,6,58000.0,3,1,0,85000,0
CUST0004,Female,40,4,0.0,1,1,0,42000,1
CUST0005,Male,28,2,99000.0,2,0,1,37000,1
CUST0006,Female,35,5,40000.75,2,1,1,90000,0
CUST0007,Male,60,7,150000.0,4,1,0,76000,0
CUST0008,Female,48,3,85000.0,3,0,0,66000,1
CUST0009,Male,39,2,22000.2,1,1,1,58000,0
CUST0010,Female,50,4,76000.9,2,1,1,47000,1
